,index,image url,question,paligemma answer,paligemma answer finetuned,gpt4o model answer
15,270,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-object-detection.png                                                                   ,What type of model am I creating based on the screenshot?,object detection,You are creating an 'Object detection' model by selecting it from the 'Model type' dropdown and then clicking on 'Object detection'.,"You are creating an 'Object detection' model, as indicated by the 'Model type' dropdown on the left side of the screenshot."
16,270,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-object-detection.png                                                                   ,Which framework and model are selected in this configuration?,pytorch object detection,"The framework selected is 'PYTORCH', and the model selected is '<loc0106> alamy'.",The selected framework is 'PYTORCH' and the model is 'YOLO_V5' as shown in the dropdowns under the 'Framework' and 'Model' sections respectively.
17,270,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-object-detection.png                                                                   ,What do I do next to finalize the model creation process?,create model,"Answer To finalize the model creation process, click the 'Create model' button located at the bottom right of the screen.","To finalize the model creation, click the 'Create model' button at the bottom right of the screenshot."
18,292,https://storage.googleapis.com/docs-media.encord.com/static/img/add-collaborator-screen.png                                                                          ,How do I select a user role for the collaborator I want to add?,choose a role,"In the 'Invite collaborators' dialog, you should select from one of four roles from the 'Choose a role' dropdown: Annotator, Reviewer, Annotator & Reviewer, and Team Manager. Select a role from this dropdown, then click on the 'Add' button to add the user with this specified role.","To select a user role, choose one of the options under 'Choose a role' in the dialog box. Options include Annotator, Reviewer, Annotator & Reviewer, Team Manager, and Admin."
19,292,https://storage.googleapis.com/docs-media.encord.com/static/img/add-collaborator-screen.png                                                                          ,I want to give a new user full access to all project features. Which role should I select?,admin,"For full access access to all project features, you should select the 'Admin' role. This is visible in the 'Choose a role' section, where you can select this option.","To give a new user full access to all project features, select the 'Admin' role. This will grant full access, including the ability to attach ontologies and datasets."
20,292,https://storage.googleapis.com/docs-media.encord.com/static/img/add-collaborator-screen.png                                                                          ,What do I do next to add the user with the specified role?,invite collaborators,"To add the user with the specified role, click on the 'Add' button in the top right corner of the dialog. In this case, you will not need to enter a role since the user will have the 'Admin' role by default.","After selecting a user and assigning a role, click the 'Add' button in the top-right corner of the dialog to add the user with the specified role."
21,315,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/project-dashboard/labels/queue_tab_release-callout.png                                      ,How can I release a task from the queue?,click to release task,"To release a task, right-click on the object you want to release, and choose the 'Release task' option from the dropdown menu.","To release a task from the queue, click the three vertical dots in the 'Actions' column next to the task you want to release. This will open a menu where you can select 'Release task'."
22,315,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/project-dashboard/labels/queue_tab_release-callout.png                                      ,What does the 'Initiate' action do for a task?,starts the task,"The 'Initiate' action, as seen when present next to a<loc0384>_Initiate_ option, signals<loc1007> the corresponding task to the<loc0006> format '<loc0887><loc0964>, and relevant actions are pre-set.","The 'Initiate' action opens the label editor and allows you to proceed with annotation or review, depending on the task type, as indicated in the screenshot and documentation."
23,315,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/project-dashboard/labels/queue_tab_release-callout.png                                      ,What should I do next to start working on the task reserved by justin@cord.tech?,initiate,"To start working on the task reserved by justin@cord.tech, click in the 'Reserved by' column next to the user's email address. Then, select 'Initiate' from the Actions column on the far right.","To start working on the task reserved by justin@cord.tech, click the 'Initiate' button in the 'Actions' column corresponding to the task entry."
24,322,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-team-collaborators.png                                                           ,How can I filter the table entries to show data from only May 2023?,download the csv,"In the screenshot, you can filter the table entries by selecting either 'A) Data file', 'B) Data file - Project', 'C Download CSV', or A) 'encord-settings.png' with an admin role, as shown in the customization options above the table.","To filter the table entries for May 2023, click on the date range filter (marked as B in the screenshot), then select the start date as 2023-05-01 and the end date as 2023-05-31."
25,322,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-team-collaborators.png                                                           ,What steps should I take to download the table data as a CSV file?,4,"To download the table data as a CSV file, click on the '+ Download CSV' button, which is<seg055> to the right of the file list.","To download the table data as a CSV file, click on the 'Download CSV' button, which is located in the top right corner of the table (marked as C in the screenshot)."
26,322,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-team-collaborators.png                                                           ,How can I view more entries if they don't all fit on one page?,go to next page,You can view more entries by clicking the '+' button located at the bottom right corner of the table.,"If there are more entries than can fit on one page, use the pagination controls at the bottom of the table (marked as D in the screenshot) to navigate through different pages. You can also adjust the number of entries displayed per page using the dropdown menu next to the pagination."
27,333,https://storage.googleapis.com/docs-media.encord.com/static/img/add-collaborator-screen.png                                                                          ,How do I choose a role for the collaborator I want to add?,annotator,"To choose a role, click on the dropdown menu under 'Choose a role'. In this screenshot, 'Annotator' has been selected.","To choose a role for the collaborator, select one of the options from the 'Choose a role' section beneath the 'Select users' input field. Options include Annotator, Reviewer, Annotator & Reviewer, Team Manager, and Admin."
28,333,https://storage.googleapis.com/docs-media.encord.com/static/img/add-collaborator-screen.png                                                                          ,What does the 'Annotator' role entail?,an annotator will be responsible for completing annotation tasks.,"The 'Annotator' role is responsible for completing annotation tasks as<loc0082><seg034> with the annotation tool. According to the screenshot, an Annotator is selected for this task.","The 'Annotator' role entails being responsible for completing annotation tasks, as described in the description next to the 'Annotator' option in the 'Choose a role' section."
29,333,https://storage.googleapis.com/docs-media.encord.com/static/img/add-collaborator-screen.png                                                                          ,What do I do next after selecting the user role?,invite collaborators,"After selecting the desired role from the dropdown menu, click the 'Add user' button to create a user. You cannot add users once added.","After selecting the user role, type the email address of the user you'd like to add into the 'Select users' field, select the user from the list, and click the 'Add' button to add the user with the specified role."
30,363,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/project-dashboard/labels/queue_tab_release-callout.png                                      ,How can I start working on the task reserved by justin+an1@cord.tech?,initiate,"Click on the 'Initiate' button next to each user's email, with their status indicating it was initiated, to start working on their respective tasks.","To start working on the task reserved by justin+an1@cord.tech, click the 'Initiate' button located in the 'Actions' column next to their email."
31,363,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/project-dashboard/labels/queue_tab_release-callout.png                                      ,What do I do next to release the task reserved by justin@cord.tech?,initiate,"To release the task reserved by justin@cord.tech, click on the<seg086><seg010><seg078><seg072><seg052><seg109><seg071>, and then select 'Release task' from the dropdown menu.","To release the task reserved by justin@cord.tech, click on the three vertical dots in the 'Actions' column and then select 'Release task' from the expanded menu."
32,363,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/project-dashboard/labels/queue_tab_release-callout.png                                      ,Can I filter tasks based on who reserved them?,yes,"Yes, you can filter tasks by reserving those users who first reserved the task under the Reserved by tab. This is available for tasks created last a specific minute or 27 minutes ago.","Yes, you can filter tasks based on who reserved them by clicking the filter icon located beside the 'Reserved by' column header."
33,370,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-team-collaborators.png                                                           ,How can I filter the table entries by date?,select the date,"To filter the table entries by date, use the habet role for each user entry. For example, row<seg026> 'encord-settings.png' contains an 'Admin' role, but your filtering will not include users with session times of 5a or 2s.","To filter the table entries by date, click on the date range displayed at the top of the table, select the start date '2023-04-17' and the end date '2023-05-19' according to your desired period."
34,370,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-team-collaborators.png                                                           ,What do I do next to download the table entries?,go to next page,"After viewing the table entries, click the 'Download CSV' option located in the top-right corner of the screen to download the data to your local server.","To download the table entries, click on the 'Download CSV' button located on the top right corner of the table. This will allow you to save the data in CSV format."
35,370,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-team-collaborators.png                                                           ,How can I see more entries if they don't all fit on one page?,go to next page,You can view more entries by clicking the '+' button located at the top right of the table.,"If there are more entries than can fit on one page, use the pagination controls at the bottom right of the table. You can navigate between pages or adjust the number of entries visible per page using the dropdown menu '10 / page'."
36,412,https://storage.googleapis.com/docs-media.encord.com/static/img/save-as-new-template.png                                                                             ,How can I save my current workflow as a template?,save as new template,"To save your current workflow as a template, click on the 'Save as new template' button located at the bottom of the list of workflow stages.","To save your current workflow as a template, click the 'Save as new template' button located at the bottom of the Workflow stages panel."
37,412,https://storage.googleapis.com/docs-media.encord.com/static/img/save-as-new-template.png                                                                             ,What are the steps in my current Workflow?,uncheck complete,"The steps in the current Workflow are 'Annotate, Review, Percentage router, Collaborator router, and Complete.","Your current Workflow includes the following stages: Annotate, Review, Percentage router, Collaborator router, and Complete."
38,412,https://storage.googleapis.com/docs-media.encord.com/static/img/save-as-new-template.png                                                                             ,What do I do next to finalize my Workflow setup?,save as new template,"To finalize the Workflow setup, ensure all stages are covered, as indicated by the text 'All stages must be finalized to proceed.' Then, click the 'Save as new template' button at the bottom.","To finalize your Workflow setup, review the stages listed (Annotate, Review, Percentage router, Collaborator router, Complete) and then click the 'Save as new template' button to save this workflow configuration for future use."
39,416,https://storage.googleapis.com/docs-media.encord.com/static/img/save-as-new-template.png                                                                             ,What is the purpose of the 'Save as new template' button in the Workflow stages screen?,save the current workflow as a new template,The 'Save as new template' button is used to save a copy of the current workflow template within your project. This will not include participan...,The 'Save as new template' button allows you to save your customized or edited workflow as a new template for future use.
40,416,https://storage.googleapis.com/docs-media.encord.com/static/img/save-as-new-template.png                                                                             ,What are the stages listed in the Workflow stages screen?,"the stages listed in the Workflow stages screen are annotate, review, percentage router, collaborator router and complete.","The stages listed in the Workflow stages screen are 'Annotate', 'Review', 'Percentage router', 'Collaborator router', and 'Complete'.","The stages listed are Annotate, Review, Percentage router, Collaborator router, and Complete."
41,416,https://storage.googleapis.com/docs-media.encord.com/static/img/save-as-new-template.png                                                                             ,What do I do next after customizing my workflow stages?,save as new template,"After customizing your workflow stages, click on the 'Save as new template' button at the bottom of the screen to save your changes and attach it to your projects.","After customizing your workflow stages, click the 'Save as new template' button at the bottom to save your changes as a new template."
42,424,https://storage.googleapis.com/docs-media.encord.com/static/img/annotate/consensus_reviewer-02-02.png                                                                ,How do I select the annotators that labeled the data unit correctly?,select them with the drop down,"For example, 'laveneme-ld-annotator-54@encord.com' was selected by the annotators labeled 'laveneme-ld-Blueberry or Cherry'. Click on the 'Select annotators' dropdown and choose this entry, to reveal they're selected.",You can select the annotators by clicking the checkboxes next to their names in the 'Select 3 annotators in agreement' panel on the left. Ensure you have selected the required number of annotators for the 'Consensus reached' button to become clickable.
43,424,https://storage.googleapis.com/docs-media.encord.com/static/img/annotate/consensus_reviewer-02-02.png                                                                ,What do I do next after clicking the 'Consensus reached' button?,submit,"After clicking the 'Consensus reached' button, select the annotator whose email comes in the top ranked role, type your specific comment into the text field, and click the 'Submit' button.","After clicking the 'Consensus reached' button, a dropdown will appear where you can select the annotator who did the best job. Choose the annotator from the list and then click the 'Submit' button to finalize your selection."
44,424,https://storage.googleapis.com/docs-media.encord.com/static/img/annotate/consensus_reviewer-02-02.png                                                                ,Where can I view the image that the annotations are referring to?,"The image is not included in the text, therefore I cannot answer this question.","The image of a cherry tree is visible on the right side of the screen, with 'Cherry' labeled as the frame.","The image being annotated, which shows blue fruits on a branch, is displayed on the right side of the screen. You can use this image to verify the annotations."
45,431,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/training/create_flow/at_create3_config-score-function_select-GT.png                         ,What is the current scoring function selected in the benchmark setup?,example scoring function,The current scoring function selected is 'Car'. This is indicated in the 'Scoring function' section as a value field with the label 'Car' with a text box with the value '100'.,"The current scoring function selected is 'Dynamic benchmark', which can be seen highlighted in red on the upper left side of the 'Set up benchmark' section."
46,431,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/training/create_flow/at_create3_config-score-function_select-GT.png                         ,Which project should I choose to ensure 100% annotation task progress?,traffic-ga-demo benchmark source code,"You should select the 'Traffic (GA + Demo Benchmark Source CSV)' project as the project you want to ensure 100% annotation task progress, as indicated next to the project name in the 'Select one more more projects for use for benchmark sources' section.","You should choose 'Traffic QA - Demo Benchmark Source COMPLETE', as it shows 100% annotation task progress in the 'Select one or more projects to use for benchmark sources' section on the right side."
47,431,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/training/create_flow/at_create3_config-score-function_select-GT.png                         ,What do I do next to continue setting up the training data?,go to next step,"Next, you should proceed to 'Assign tasks' the same as creating the ontology if you want to use the benchmark dataset for training.","Once you are satisfied with your configuration, click the 'Next step' button, which is located at the bottom of the screen, to proceed with setting up the training data."
48,468,https://storage.googleapis.com/docs-media.encord.com/static/img/join-org-dataset.png                                                                                 ,How can I find datasets that I have not joined yet?,search datasets,"To find datasets you have not joined, click on the 'All Encord datasets' tab at the top of the My datasets page. The lookaheads show folders like 'Cows' and 'Chickens', but none have the 'Join dataset' button to add them.","To find datasets you have not joined, click on the 'All Encord datasets' tab at the top of the screen, which shows available datasets such as 'Cows', 'Chickens', and 'Lambs'."
49,468,https://storage.googleapis.com/docs-media.encord.com/static/img/join-org-dataset.png                                                                                 ,What do I do next to join the 'Chickens' dataset?,join dataset,"To join the 'Chickens' dataset, click the 'Join dataset' button located on the right side of the dataset list.","To join the 'Chickens' dataset, click the 'Join dataset' button next to the dataset name. This will assign you the Admin role automatically."
50,468,https://storage.googleapis.com/docs-media.encord.com/static/img/join-org-dataset.png                                                                                 ,How can I search for a specific dataset in this view?,search textbox,Use the search bar labeled 'My datasets' to find the datasets you have joined. This allows you to filter or sort your data accordingly.,You can search for a specific dataset by entering the dataset name in the 'Search datasets' bar located at the top of the dataset list.
51,471,https://storage.googleapis.com/docs-media.encord.com/static/img/obj-track-slow-normal.png                                                                            ,How can I hide an object while working in this tool?,hide object,"To hide an object, select the 'Hide object' option from the Interpolate menu. This will hide the associated task, indicated by its icon, without any additional options or actions.","To hide an object, click on 'Hide object' from the menu options available in the screenshot."
52,471,https://storage.googleapis.com/docs-media.encord.com/static/img/obj-track-slow-normal.png                                                                            ,What is the keyboard shortcut for deleting an object?,backspace,"The keyboard shortcut for deleting an object is 'Delete object', as indicated next to the 'Delete object' button on the menu.",The keyboard shortcut for deleting an object is 'BACKSPACE' as shown next to the 'Delete object' option in the menu.
53,471,https://storage.googleapis.com/docs-media.encord.com/static/img/obj-track-slow-normal.png                                                                            ,What do I do next to begin tracking an object with this tool?,press track object,"To start tracking an object with the tool, right-click the shape you want to track, select 'Track object', and then name the application. You can use the keyboard shortcut Shift + T to begin tracking the object<loc0504><loc0955> attached to the shape you name this<loc0701> bond to<seg049>.","To begin tracking an object, click on the 'Track object' option at the bottom of the menu, highlighted in a blue box. This initiates the tracking process."
54,492,https://storage.googleapis.com/docs-media.encord.com/static/img/automated-label-highlight.png                                                                        ,How do I initiate automated labeling in this interface?,click on the button,"To initiate automated labeling, click the 'Automated labeling' button located at the bottom of the screen, between 'Show timeline' and 'Speed' controls, as a blue bar this time.","To initiate automated labeling, click the 'Automated labeling' button located in the bottom left corner of the screen."
55,492,https://storage.googleapis.com/docs-media.encord.com/static/img/automated-label-highlight.png                                                                        ,What do I do next to use the Agent for annotation?,select image,"To use the Agent for annotation, click on the 'Automated labelling' button located at the bottom of the Label Editor, highlighted in red in the screenshot.","After clicking 'Automated labeling,' open the 'Agents' section in the automated labeling drawer, select the Agent from the dropdown, and then click 'Trigger agent' to call the API endpoint."
56,492,https://storage.googleapis.com/docs-media.encord.com/static/img/automated-label-highlight.png                                                                        ,How can I see the classification options available in this setup?,open the classification menu,"To see the classification options available in this setup, click on the 'Classifications (0)' under 'Labels' section, or use the keyboard shortcut Shift + M to open the Classification Editor as shown in the screenshot.","Look at the 'Labels' section on the left side, under 'Classifications,' currently showing '(0)' indicating that no classifications have been set."
57,509,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/projects-workflow.png                                                                       ,How do I attach datasets to my project?,add dataset,"To attach datasets to your project, click the 'Attach dataset' button located next to the description under the 'Tags' section of project settings on the left side of the screen.","To attach datasets to your project, go to the 'Project settings' panel on the left. Under the 'Datasets' section, you can see 'Football videos part 1' and 'Football videos part 2' are already attached to the project titled 'Football'."
58,509,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/projects-workflow.png                                                                       ,What is my next step after setting the project details?,associate 1,"After setting the project details, next step is to 'Add stages', as indicated by the 'Add stage'<loc0766><seg062><seg072>, to initiate the annotation task<loc0374><loc0035> deu<loc0894>, which allows you to begin working on the project.","After setting the project details such as title and datasets, ensure the default workflow suits your needs, then click the 'Create project' button at the top right corner to finish creating the project."
59,509,https://storage.googleapis.com/docs-media.encord.com/static/img/projects/projects-workflow.png                                                                       ,Can I modify the workflow after the project has been created?,yes,"Yes, you can modify the workflow after the project is created. However, you cannot alter the workflow grid after the project creation, as indicated by the note at the bottom.","No, you cannot alter the workflow graph after project creation, as indicated by the note at the bottom of the screenshot."
60,600,https://storage.googleapis.com/docs-media.encord.com/static/img/move-files.png                                                                                       ,How can I confirm moving the files to the 'City Traffic' folder?,search folder,"Make sure you have selected the files in the list, then click the 'Move' button next to the selection.","To confirm moving the files, click the 'Move' button located at the bottom right of the dialog."
61,600,https://storage.googleapis.com/docs-media.encord.com/static/img/move-files.png                                                                                       ,What should I do next to find a specific folder name after starting the typing?,move,"<seg121><seg089> دیکvník používá<loc0995><loc0550> doménum souboru, jako je 'City Traffic', ale nedokáže další namítnout.",Begin typing the folder's name in the provided text field. Matching folder names should appear in the dropdown list for you to select one.
62,600,https://storage.googleapis.com/docs-media.encord.com/static/img/move-files.png                                                                                       ,"If I want to cancel moving the files, what should I do?",move,"To cancel the moving of files, use the 'Cancel' button in the dialog that will stop the progress of the files.","To cancel the operation, click the 'X' button at the top right corner of the dialog."
63,602,https://storage.googleapis.com/docs-media.encord.com/static/img/storage-add-user.png                                                                                 ,How do I invite a user to this folder?,add email,"To invite a user to this folder, click the 'Invite individuals' field where you enter the user's email address. Then, click the 'Choose a role' section and select an admin from the dropdown list, enter their email address, and click the 'Add' button.","To invite a user, enter their email address in the 'Invite individuals' field. For example, 'eric@encord.com' is currently typed in. Then, click the red 'Add' button next to the email field."
64,602,https://storage.googleapis.com/docs-media.encord.com/static/img/storage-add-user.png                                                                                 ,What roles can I assign to a user I'm inviting?,"viewer, admin","You can assign either a Viewer or Admin role to a user. In the screenshot, a user is being invited to upload files as a Viewer or an Admin.","You can assign two roles: 'Viewer' and 'Admin'. 'Viewer' allows the user to download and view files, while 'Admin' grants full permissions to edit, copy, move, and manage collaborators."
65,602,https://storage.googleapis.com/docs-media.encord.com/static/img/storage-add-user.png                                                                                 ,What do I do next after selecting a role for the user?,add user,"After selecting a role from the 'Select a role' dropdown, click the 'Add' button to add the user to your project.","After selecting the desired role, click the red 'Add' button to confirm your selection and invite the user with the specified permissions to access the folder."
66,689,https://storage.googleapis.com/docs-media.encord.com/static/img/active/workflows/analytics-label-02.png                                                              ,Which dataset is currently being analyzed in this view?,cocd 2017,"The dataset currently being analyzed is 'COCD 2017 Dataset', as shown at the top of the interface where it is 'COCD 2017 Dataset'.","The dataset currently being analyzed is the '[Open source][Validation] COCO 2017 Dataset,' as seen in the dataset selector at the top of the screen."
67,689,https://storage.googleapis.com/docs-media.encord.com/static/img/active/workflows/analytics-label-02.png                                                              ,How can I change the metrics being compared on the scatter plot?,select the 'metrics' tab,"To change the metrics being compared, use the dropdown menus labeled 'X Metric' and 'Y Metric'. You can select different metrics for comparison.","To change the metrics on the scatter plot, use the dropdown menus labeled 'X Metric' and 'Y Metric.' Currently, 'Absolute Area' is selected for the X Metric and 'Aspect Ratio' for the Y Metric."
68,689,https://storage.googleapis.com/docs-media.encord.com/static/img/active/workflows/analytics-label-02.png                                                              ,What do I do next to analyze trend data from this scatter plot?,show trend,"To analyze trend data, first select a different metric (e.g., 'Absolute Area' or 'Aspect Ratio') for the data point grid to see the trend against that metric. Then, use the dates selector at the top to filter the data<loc0574> trend. Finally, create a title for your chart according to your data data point trend label to keep your data set together.","To analyze trend data, ensure the 'Show trend' checkbox is checked, which it currently is. This will display the trend line on the scatter plot for the selected metrics."
69,691,https://storage.googleapis.com/docs-media.encord.com/static/img/active/workflows/analytics-label-03.png                                                              ,What dataset is currently being analyzed in the screenshot?,coco 2017 dataset,"The dataset currently being analyzed is 'COCO 2017 Dataset'. To ensure the correct analysis, this selection must be<loc0899> COCO 201 Dataset, as thisvéhicular dataset is exclusive for specific datasets.","The dataset currently being analyzed is '[Open source][Validation] COCO 2017 Dataset', as shown at the top left of the screenshot."
70,691,https://storage.googleapis.com/docs-media.encord.com/static/img/active/workflows/analytics-label-03.png                                                              ,How can I switch to analyzing a different metric or property?,select the analytics option,"To switch to analyzing a different metric or property, click on the 'Metric Distribution' tab located at the top of the dashboard. Options like 'Explorer' and 'Analytic' can be seen next to 'Metric Distribution'. Select the desired metric or property to proceed.","You can switch to a different metric or property by using the dropdown menu labeled 'Metric or Property', located below 'Metric Distribution.' It is currently set to 'Annotation Class.'"
71,691,https://storage.googleapis.com/docs-media.encord.com/static/img/active/workflows/analytics-label-03.png                                                              ,What should I do next if I want to explore the 'Model Evaluation' section based on this screenshot?,go to step 2,"To explore the 'Model Evaluation' section, you should go to the top right corner of the platform, navigate to the 'Model Evaluation' section, and click on the 'Analytical' tab for further details.","To explore the 'Model Evaluation' section, you should click on 'Model Evaluation' in the top navigation bar, next to 'Analytics.'"
72,717,https://storage.googleapis.com/docs-media.encord.com/static/img/images/ea-entropy-equation.png                                                                       ,What does the formula H(p) = -∑(pᵢ log₂ pᵢ) represent?,The formula H(p) = -∑(p₁ log₂ p₁) represents the expected number of bits required to encode a probability p.,"The formula H(p) = -∑n p<seg007> log₂ p<seg000> represents the<loc0124><loc0740> formula, which predicts the probability that a vertex with degree p is in a specific cycle starting at a specific vertex with degree 0, given the existence of specific cycles involving vertices with specific degrees.","The formula represents the entropy of a random variable, which is a measure of the average level of 'information', 'surprise', or 'uncertainty' inherent in the variable's possible outcomes."
73,717,https://storage.googleapis.com/docs-media.encord.com/static/img/images/ea-entropy-equation.png                                                                       ,"In the entropy formula, what does pᵢ refer to?",The probability of a single state.,p străin<loc0701> in the formula is the ratio of the total number of states (n) to the total number of active states (Pi) for each vertex v.,"In the formula, pᵢ refers to the probability of occurrence of the i-th possible outcome of the random variable."
74,717,https://storage.googleapis.com/docs-media.encord.com/static/img/images/ea-entropy-equation.png                                                                       ,What do I do next to calculate entropy for a given dataset?,i multiply each probability by the log of the dataset size.,"Next, you should use a math function like Logger to compute the entropy of your dataset. This helps manage numerical values to avoid stochastic drifts when applying the cross-entropy algorithm.","To calculate entropy for a given dataset, list all possible outcomes and their probabilities. Then, apply the formula H(p) = -∑(pᵢ log₂ pᵢ) using these probabilities to compute the entropy."
