index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
413,How can I start editing a workflow template in the application?,"To start editing a workflow template, navigate to 'Workflow templates' under 'Annotate' on the sidebar, then click the name of the template you want to edit.",Is it possible to edit the start nodes of a workflow template?,"No, you cannot edit the start nodes of a workflow template.",Where is the 'New workflow template' button located?,The 'New workflow template' button is located in the top right corner of the 'Workflow templates' section.
402,How do I change the name of the review stage in this application?,Click the Edit icon next to the review stage name to edit it.,What should I do if I need to attach a 'Rejected' node of the review stage to another review stage?,Contact support at support@encord.com for assistance with attaching the 'Rejected' node to another review stage.,How can I exit the edit mode for a Review card?,Click the 'x' next to the name of the Review card to exit edit mode.
247,How can I select which files to export labels for?,You can select the files you want to export labels for by clicking the checkboxes next to the files listed under 'Select Labels'.,What formats are available for exporting data?,You can export data in two formats: COCO and JSON. You can select the desired format in the 'Format' section.,Is it possible to include signed URLs in the export?,"Yes, you can include signed URLs in the export by toggling the switch labeled 'Generate signed URLs.'"
404,How do I add a specific reviewer to the list?,"Click on the 'Review' component, select the 'Selective' tab, type the email address of the reviewer you'd like to add, and select them from the list. Then click 'Add' to confirm the selection.",Are all collaborators eligible to be added as reviewers?,"No, only collaborators with the 'Reviewer' and 'Annotator & Reviewer' roles are available for selection. Admins and Team Managers are part of all review stages by default and cannot be removed.",What happens if I try to add a reviewer who is not a collaborator?,"Only collaborators that have been added to the Workflow or the Project can be selected as reviewers. If the person is not a collaborator, they will not appear in the list to add."
399,What happens to tasks after they pass through the percentage router?,"Tasks are split, with 50% going to review stage A and 50% going to review stage B, distributing the workload between two different groups of reviewers.","If a task is routed to review stage A initially, will it always follow that route?","Yes, the task will be routed to review stage A on each consecutive pass until the routing percentages are updated.",Can I change the routing percentages after creating a project?,"Yes, you can change the routing percentages after project creation, but this will reset the percentage router and may alter the pathway of a given task."
461,What should I do if I want to ignore errors caused by unsupported files during the upload?,"To ignore errors caused by unsupported files, turn on the 'Ignore individual file errors' toggle to ensure the entire upload does not fail if only one file cannot be added.",How can I proceed to import the files after uploading my JSON or CSV?,"After uploading your JSON or CSV files, click the 'Import' button to add your cloud data to the Dataset.",Is there a size limit for the JSON/CSV files I want to upload?,"Yes, there is a size limit of 100MB for JSON/CSV files for the upload process."
86,How can I change the mammography layout settings in the DICOM Label Editor shown in the screenshot?,"To change the mammography layout settings, go to the DICOM editor settings within the application, indicated by the gear icon. From there, you can select between 'Off', '2x2', or '4x1' layouts.",What does the 2x2 layout option do in the DICOM Label Editor as described above the screenshot?,The 2x2 layout displays MLO views in the top row and the CC views in the bottom row within the Label Editor.,"If I'm viewing images in the DICOM Label Editor, how can I preview how they will look with different layout settings?",You can hover over a mammography layout setting to see a preview of how each file will be displayed in the Label Editor if that setting is selected.
51,How do I add a new DNS server address?,"Click the '+' button in the 'DNS Servers' section, as highlighted in the screenshot.",What could I use as my DNS server address,In the encord documentation it is recommended to use '8.8.8.8'. Type this into the text field under 'DNS Servers:',What types of DNS Server address am I allowed to use?,"IPv4 or IPv6 addresses are accepted, as stated in the bottom right corner"
334,How can I add a group of collaborators to the 'Football' project?,"To add a group of collaborators to the 'Football' project, click on the 'Manage' button in the 'Groups' section. This will open the 'Manage Groups' pop-up where you can select a group and assign a role before adding them to the project.",What should I do if I want to assign a role to a group I'm adding?,"After selecting a group from the 'Select group' drop-down, use the 'Select Role' drop-down to assign a role to the group. Then click 'Add' to finalize adding the group with the specified role.",Is it possible to search for individual collaborators within the 'Football' project settings?,"Yes, you can search for individual collaborators by using the search bar in the 'Individuals' section of the 'Football' project settings page."
7,How do I begin creating a new model in the Encord platform?,"To begin creating a new model, navigate to the 'Models' section under 'Agents' and click the '+ New model' button.",What information do I need to provide when setting up a new model?,"You need to enter a title, optionally a description, select a Model type, Framework, Model, and set up the model's Ontology.","Once I've set all the specifications for my model, what do I do next?","After setting all the specifications for your model, click the 'Create model' button to complete the process."
409,How can I add a new collaborator to my project?,"To add a new collaborator, go to the 'Invite' tab, enter the user's name in the 'Select users' field, and choose their role before clicking the 'Add' button.",What role should I assign to someone who needs to both annotate and review tasks?,You should assign the 'Annotator & Reviewer' role to someone who needs access to both annotator and reviewer features.,"If I want a collaborator to manage the project and attach datasets, which role should I select?","You should select the 'Admin' role, as it provides full access to all project features, including attaching ontologies and datasets."
213,How can I zoom in to see finer time intervals in the timeline?,Use the zoom in button (the + symbol) in the toolbar to see finer time intervals in the timeline.,What are the sorting options available for object instances and classifications?,You can sort object instances and classifications either alphabetically or by their creation order.,What happens when I zoom out on the timeline?,"Zooming out provides a broader view of larger time segments, allowing you to see more of the timeline at once."
218,What does clicking 'Done' accomplish in the application?,"Clicking 'Done' links the instances, which is shown in the Instance labels section with the name of the linked instance being displayed.",How can I identify which instances are linked in the application?,"Linked instances are shown in the Instance labels section with their names displayed. For example, 'Chicken (0)' is highlighted, indicating it may be a linked instance.",Is there a visual indication of linked instances in the application interface?,"Yes, linked instances can be visually identified in the Instance labels section, where they are listed with their names, such as 'Chicken (0)', which is highlighted."
329,How can I filter projects by a specific tag in the application?,"To filter projects by a specific tag, click the 'Projects' tab in the navigation bar, then click the 'Filter by tags' drop-down and select one or more project tags. Only projects with the selected tags will be displayed.",What is the purpose of the 'New Project' button in the screenshot?,The 'New Project' button allows you to create a new project in the application. It's located at the top right corner of the Projects page.,What tags are associated with the 'Tennis racket detector' project in the screenshot?,"The 'Tennis racket detector' project is associated with the tags 'tennis', 'yoltv4', and 'annotator4'."
438,How can I review the benchmark labels for a specific submission?,You can use the 'View' functionality next to each submission in the Annotator submissions tab to verify the benchmark labels and the annotator's submission in the label editor.,Why do multiple rows have a score of 0?,Looking at the Annotator answer column we can see these rows are 'missing submission' .,Why are some submissions showing as 'Missing submission' with a score of 0?,"The submissions showing 'Missing submission' indicate that no annotator answer was submitted for those data units, resulting in a score of 0 for that particular instance."
392,What is the significance of the warning message shown in the screenshot?,"The warning message indicates that upgrading a collaborator to an admin is an irreversible action, meaning it cannot be undone. Caution is advised during this process.",What options do I have after seeing the message about upgrading a collaborator to admin?,"After seeing the message, you have the option to either 'Cancel' the action or 'Continue' with upgrading the collaborator to an admin.",What roles can I assign to collaborators in this application?,"You can assign the roles of Annotator, Team Manager, and Admin to collaborators. Annotator is the default role, Team Manager can assign tasks and add collaborators, and Admin provides full administrative control over the project."
465,How can I invite a new collaborator to my dataset team?,"To invite a new collaborator, click the '+ Invite collaborators' button and add their email addresses.","What is the default role assigned to new collaborators, and what can they do?",New collaborators are assigned the 'Viewer' role by default. A 'Viewer' cannot make changes to the dataset; only an 'Admin' can.,How can I change a collaborator's role from 'Viewer' to 'Admin'?,"To change a collaborator's role from 'Viewer' to 'Admin', use the 3 dots to the right of their name to access the role change option."
458,How can I attach additional files to my existing dataset?,"To attach additional files, click on '+Attach existing files' button at the top right of your dataset screen.",Where can I find the Dataset ID for my 'Ski images' dataset?,The Dataset ID is located below the dataset name 'Ski images' and is 'cc6bb7ce-7f52-4686-a1d3-aac2c5dc895c'.,How do I upload new files if they are not already in the system?,"If the files have not been uploaded yet, click on '+Upload files' to add new files to your dataset."
210,How can I find out the duration for which the 'lake' object is visible in the video?,"The 'lake' object is visible from the start (0:00) until 7 seconds into the video, as indicated by the brown bar on the timeline.",What happens when I hover over an object on the timeline?,Hovering over an object on the timeline shows the frame range in which it appears and any attribute values the object has.,Can I navigate to a specific frame from the timeline?,"Yes, by clicking a frame number on the timeline, you can navigate directly to that frame."
390,How can I delete a group from the 'Added groups' section?,"To delete a group from the project, click the delete button, which appears as a trash can icon, next to the group name.",What does the trash can icon represent in the application?,"The trash can icon represents the delete function, allowing you to remove a group from the project.",Where will the group I just added appear in the application?,The group you just added will appear under the 'Added groups' heading in the application.
558,How do I create a new folder in the Encord platform?,"To create a new folder, navigate to the 'Files' section of 'Index', click '+ New folder', provide a name and description for the folder, and then click 'Create'.",Where can I see the folders I have created in the Encord platform?,The folders you have created can be viewed in the 'Files' section under 'Index.' They will be listed there along with details such as the name and date added.,What additional information can I provide when creating a new folder?,"When creating a new folder, you can provide a meaningful name and a description to help identify its contents and purpose."
553,What is the purpose of the Index feature in the application?,"The Index feature provides storage for images, image groups, image sequences, videos, and DICOM within Encord. It allows users to create Datasets for Projects after importing local data or registering cloud data.",How does the Annotate feature assist users?,"Annotate enables users to create labeling workflows and transform unlabeled data into labeled data by adding object boundaries and classification labels. It includes manual or automatic quality assurance methods, simplifying the creation of high-quality labeled datasets for training ML models.",What role does Active play in the dataset validation process?,"Active facilitates validation and debugging of datasets through active-learning cycles. It helps analyze annotated datasets to focus on the best labels while dismissing ones that reduce model performance, iteratively refining the training data to improve ML model quality over time."
540,What does the 'Relation' toggle indicate in the Label Editor?,"The 'Relation' toggle indicates whether a relation attribute is activated or deactivated for a specific instance label. In the screenshot, it is activated as shown by the red toggle.",How can I link objects using the 'Relation' attribute in this application?,"Objects are linked using the 'Relation' attribute during annotation in the Label Editor. First, create both instance labels, then click the 'Edit classifications' button for the object associated with the 'Relation' attribute.",Can I define relations between objects when setting up an Ontology?,"No, objects are linked using the 'Relation' attribute during annotation in the Label Editor, not during Ontology creation."
677,What does the 'Adjust priority of tasks' slider do in the Send to Annotate dialog?,The 'Adjust priority of tasks' slider allows you to set the priority level for all the images/frames in the Collection when they are sent to Annotate. You can adjust it from 0 (Low) to 100 (High).,How can I reopen tasks for the images/frames being sent to Annotate?,"To reopen tasks for the images/frames being sent to Annotate, check the 'Reopen tasks' checkbox in the Send to Annotate dialog.",Can I leave a comment for all the tasks being sent to Annotate?,"Yes, you can leave a comment for all the tasks by entering your comment in the 'Leave a comment on the tasks' field in the Send to Annotate dialog."
643,How can I add existing files to my dataset in the application?,"To add existing files to your dataset, navigate to the 'Datasets' section under the 'Annotate' heading. Click on the dataset you want to add data to and then click '+Attach existing files'.",What should I do if the files I want to attach are not yet uploaded to Encord?,"If the files you want to attach have not been uploaded yet, click '+Upload files' to upload new files to Encord, as indicated in the tip from the documentation.",How do I view the details of the files currently in my dataset?,"To view the details of the files currently in your dataset, locate the file in the list and click 'View details' next to it."
448,How can I export labels for selected data units in the application?,"To export labels, select the data units you want on the Data tab and click the 'Export and save' button highlighted in the screenshot.",Where can I find the 'Export and save' button in the interface?,"The 'Export and save' button is located on the right side of the interface, in the Labels tab, as shown in the screenshot.",How can I verify the data units selected for export before proceeding?,"You can verify the data units selected by checking the checkboxes next to each file name in the Data tab, which shows the number of selected rows."
630,How can I create a mirrored dataset from this screen?,"Hover over 'Looking to create a mirrored dataset?' and click 'Yes, proceed' to create a mirrored dataset.",What should I include in the 'Title of dataset' field?,You should give your dataset a meaningful title to keep your data organized.,What is the purpose of the 'Description' field?,The 'Description' field is optional and should be used to provide a clear description of your dataset to keep it organized.
573,How do I access the Index Explorer page in the Encord platform?,"To access the Index Explorer page, first log in to the Encord platform. Go to 'Index > Files' to see all folders, click into a folder, and then click the 'Explorer' button. The Index Explorer page will appear.",What should I do to filter video frames by keyframes in the application?,"In the Index Explorer page, click 'Filter', then click 'Add filter', and select 'Keyframe' from the menu to filter the video frames by keyframes.",Where can I find the option to add a filter to the video frames?,"You can find the 'Add filter' option by first clicking the 'Filter' button, which will display the 'Add filter' button. From there, you can select options such as 'Keyframe' from the dropdown menu."
272,What section should I open to access the detection and segmentation settings?,Open the 'Detection and segmentation' section.,How can I specify the range of frames for the detection model to run?,You can specify the range of frames by entering the start and end frames in the 'Detection range' fields.,What does adjusting the 'Confidence' value affect in the model output?,"Adjusting the 'Confidence' value affects how confident the model has to be for a data point to be included in the output, with values ranging from 0 to 1."
15,How can I detach a model from the 'Cars' project in the application?,"Open the 'Cars' project, navigate to the 'Models' tab, click the 'Settings' icon, and select 'Detach model'.",What type of model is attached to the 'Cars' project?,The model attached to the 'Cars' project is a 'Segmentation' model.,What is the iteration number of the model attached to the 'Cars' project?,The iteration number of the model attached to the 'Cars' project is '1 iteration'.
593,What happens when I click '+ Add data' in this application?,"Clicking '+ Add data' likely allows you to upload new data files or images into the current folder or dataset context, like adding new datasets to the 'Cityscape' folder.",Can I delete images from the folder containing 'Images of group 6533fa4d'?,"No, you cannot delete files contained in the image group or image sequence until the entire image group or image sequence is deleted.","If I add new images to the folder 'Images of group 6533fa4d', will they automatically be included in the image group?","No, adding new images to the folder does not add them to the image group or image sequence automatically."
81,How can I set a default layout for my studies in the Label Editor?,Click the tick icon next to a preset in the hanging protocols menu to select it as your default layout.,What should I do if I want to reset the layout to the default in the application?,You can reset the Label Editor to the default layout by clicking the 'Reset layout to default' icon.,How can I submit my study after reviewing the images?,"To submit your study, click the 'Submit study' button located on the top right of the interface."
595,How can I add my data to an existing dataset using this interface?,You can add data to an existing dataset by clicking the 'Add' button next to the dataset's name on the 'Existing datasets' tab.,What should I do if I want to create a new dataset for my data?,"To create a new dataset, select the '+New dataset' tab, give the dataset a meaningful name and description, and then click 'Add to new dataset' to add your files.",Is there a way to search for specific datasets in the existing datasets tab?,"Yes, you can search for specific datasets by using the search bar provided in the 'Existing datasets' tab."
532,What should I do after giving my dataset a title and description?,"After giving your dataset a title and description, click 'Create dataset' to create the Dataset.",Is it necessary to add a description while creating a new dataset?,Adding a description is optional when creating a new dataset.,What is the purpose of the toggle switch labeled 'Create a synced folder with this dataset'?,"The toggle switch labeled 'Create a synced folder with this dataset' allows you to create a synced folder with your dataset, but it is not activated in the screenshot."
107,How can I share the specific slice I am viewing?,Click the 'Share' icon in the toolbar at the top to copy the URL of the currently viewed slice.,What is the benefit of using the share feature in this application?,"By sharing the URL, you can guide users directly to a specific slice or frame in the dataset.",Where is the 'Share' icon located in the interface?,"The 'Share' icon is located in the toolbar at the top of the application interface, highlighted to facilitate copying the URL."
201,What does the paintbrush icon in the application allow you to do?,"The paintbrush icon likely represents the 'Can be drawn over' setting, which allows users to draw over a Bitmask. If the Bitmask is drawn over, any part of the image beneath it that falls within the specified threshold range is included in the next label.",What happens if a Bitmask is drawn over in the application?,"If a Bitmask is drawn over, any part of the image beneath the existing Bitmask that falls within the specified threshold range is included in the next label.",How can the paintbrush tool affect the labeling process?,"Using the paintbrush tool to draw over a Bitmask enables inclusion of underlying image areas within the specified threshold range into the next label, affecting how labels are defined."
389,How do I add a group as collaborators in the application?,"To add a group as collaborators, click the 'Select group' drop-down, pick a group you would like to add, then click the 'Select Role' drop-down to assign a role. Finally, click 'Add' to add the group.",What should I do after adding a group as collaborators?,"After adding a group, it will appear under the 'Added groups' heading. You can repeat the process to add more groups with different roles.",Can I remove a group I added by mistake?,"Yes, you can remove a group by clicking on the group listed under the 'Added groups' heading."
523,How do I approve the classifications on the audio file?,Press the 'Approve task' button shown in the screenshot to approve the classifications on the audio file.,What happens after I click the 'Approve task' button?,"After clicking the 'Approve task' button, the task is moved to the next stage, which is the 'Complete' stage.",What is indicated by 'Review 1' in the classifications section?,'Review 1' indicates that the classification has been reviewed once and is listed under Completed reviews in the application.
538,How can I apply a dynamic attribute to an object in the first frame it appears?,"To apply a dynamic attribute to an object in the first frame it appears, add the dynamic attribute to the label in that frame using the Label Editor.",What is the purpose of setting keyframes when working with dynamic attributes?,Keyframes are used to mark frames where the dynamic attribute's value changes. They allow you to efficiently propagate the correct attribute values between these frames across the object’s sequence.,How can I use keyboard shortcuts to set keyframes for dynamic attributes?,You can use the keyboard shortcut <kbd>Shift</kbd> + <kbd>L</kbd> to set keyframes on frames where the attribute changes value.
27,What information do I need to provide to reset my password on this application?,You need to enter the email address you used to sign up to Encord in the 'Company email' field.,What happens after I click the 'Reset password' button?,An email containing a secure link for resetting your password is sent to the email address you provided.,Is there an option to go back to the login screen from the 'Forgot password' page?,"Yes, you can click the 'Back to login' button to return to the login screen."
443,How can I filter the list of tasks by the user they are assigned to?,You can filter the list of tasks by using the 'Filter' button (labeled C in the screenshot) and selecting the 'Assignees' option to display tasks assigned to a particular user.,What do I need to do to begin labeling a task?,"To begin labeling a task, you can click the 'Start labeling' button (labeled E in the screenshot) next to the task you want to start.",How can I see how many data units each workflow stage currently contains?,"You can view the number of data units in each workflow stage by looking at the section labeled 'F' in the screenshot, which lists all stages and the corresponding number of data units."
77,What information do I need to enter before I can create my public key?,You need to provide a meaningful name for your public key and ensure that the public key field is populated.,What happens when I click 'Generate key pair'?,"Clicking 'Generate key pair' will generate a new public/private key pair. The public key field is automatically populated, and a private key file is downloaded.",Why is the 'Create' button disabled?,The 'Create' button is disabled until both the public key name and key fields are populated.
423,How can I achieve consensus on the labels for the data unit displayed?,Select the annotators that have done the best job of labeling the data unit. The 'Consensus reached' button becomes clickable once the required number of annotators are selected.,What is the current state of the video being reviewed?,"The video 'Blueberries_video.mp4' is currently at time 00:11.45 of 02:05.40, and frame 343 out of 3761.",How do I know which annotators have labeled the current section?,The list on the left shows the annotators with their respective email addresses and the colors they used to label the timeline in the 'Consensus regions' tab.
542,How do I link a 'Wing' instance to a 'Chicken' instance in this application?,"To link a 'Wing' instance to a 'Chicken' instance, click the 'Set relation...' bar. Then select the 'Chicken' instance under the 'This frame' heading. After selection, the instances will be linked.",What do I do after selecting the related instance in the 'Set relation...' bar?,"After selecting the related instance in the 'Set relation...' bar, click 'Done' to finalize and link the instances. The linked instance will appear in the 'Instance labels' section.",Where can I check if the instances have been successfully linked?,"You can check if the instances have been successfully linked in the 'Instance labels' section, where the name of the linked instance will be displayed."
29,How do I access the Control Panel from the Windows Start menu?,"To access the Control Panel, click the settings gear icon located in the left sidebar of the Windows Start menu.",What should I do if I can't find the application I need in the Start menu?,"If you can't find the application, use the search bar at the bottom of the Start menu by typing the name of the application.",Where is the search functionality located in the Start menu?,"The search functionality is located at the bottom of the Start menu, indicated by the text 'Type here to search.'"
472,How can I track an object using the application?,"To track an object, choose the 'Track object' option from the menu and select either 'Standard (fast)' or 'Advanced (slow)' for tracking speed.",What key can be used to delete an object?,You can delete an object by selecting it and pressing the BACKSPACE key.,Is there an option to change the class of an object and which key is associated with it?,"Yes, you can change the class of an object by selecting 'Change class' from the menu. The 'C' key is associated with this action."
638,How do I create a new folder in the Encord platform?,Navigate to 'Files' under the 'Index' heading. Click the '+ New folder' button to open the dialog and create a new folder.,What should I do after naming and describing the new folder?,"After naming and describing the new folder, click 'Create' to add the folder. It will then appear in the 'Files' list.",Where can I find the option to upload files?,"The option to upload files is next to the '+ New folder' button, labeled 'Upload files'."
11,What is the batch size set for training in the application?,The batch size set for training is 24.,How many epochs are configured for the model's training?,The model is configured to train for 500 epochs.,Which dataset is used to train the model?,"The dataset named 'Apple sample' is used to train the model, with data file 'sampl ... ed.mp4' of type 'video/mp4'."
58,How do I access the settings menu in Windows?,You can access the settings menu by clicking on the gear icon in the start menu.,Where can I type to search for applications or files?,You can type to search for applications or files in the search bar located at the bottom of the start menu.,What is the purpose of the Mail icon shown in the menu?,"The Mail icon provides access to your email application, allowing you to read, send, and manage your emails."
718,What does the formula H(p) = 1 − max_y(P(y|x)) represent?,"The formula represents the Least Confidence (LC) score, which calculates the uncertainty of a model's prediction by subtracting the maximum predicted probability of any class label from 1.",Why is a higher LC score significant in predictions?,A higher LC score indicates more uncertainty in the prediction. The model is less confident in its prediction when the LC score is higher.,Where can the implementation of this LC score be found?,The implementation of the LC score can be found on GitHub.
603,How can I change Justin's role from Viewer to Admin?,"To change Justin's role from Viewer to Admin, select 'Admin' from the dropdown next to his email address.",Can I delete Eric if he has Admin permissions?,"No, users with Admin permissions cannot be deleted, and their role cannot be changed.",What should I do to remove a user named David from the folder?,Navigate to the Manage tab and click the Delete button next to David's email to remove him from the folder.
586,What appears after I click the Explorer button in the folder landing page?,The Index Explorer page appears.,Where do I find the option to upload files in the application?,The Upload files button is in the top-right corner of the folder page.,How can I manage access to a folder within the application?,You can manage access by clicking the Manage access option under Folder access in the folder details section.
293,How can I add user groups to my project?,"To add user groups to your project, click on 'Manage' in the Groups section. Then, use the dialog that appears to select and add groups.",What steps should I follow to assign a role to a group?,"After selecting a group from the 'Select group' drop-down, use the 'Select Role' drop-down to assign a role, and then click 'Add' to apply the group to the project.",Where can I find the option to invite individual collaborators?,You can find the 'Invite collaborators' button in the Individuals section on the Team settings page.
244,How do I link the 'Wing' instance to another instance in the same frame?,"Click on the 'Set relation...' bar and select an instance, such as 'Chicken (0)', which appears under the 'This frame' heading.",Where will the linked instances be displayed after linking them?,The linked instances will be displayed in the 'Instance labels' section with the name of the linked instance being shown.,What should I do after setting the relation between instances?,Click 'Done' to complete the process of linking the instances.
57,What should I do if my file is larger than 1GB?,"If your file is larger than 1GB, you should first try to reduce the frame rate. If it remains larger than 1GB after that, proceed to reduce the resolution until the file size is below 1GB.",What happens if my file size is not larger than 1GB?,"If your file size is not larger than 1GB, it can be uploaded without any issues.",Is there any documentation available on resizing videos?,"Yes, you can learn how to resize your videos by referring to the documentation linked in the Tip section below the diagram."
698,What information is required to create a new Dataset?,You need to provide a Dataset Title and a Dataset Description.,How can I create an Annotate Project with the new Dataset attached?,Select 'Create project' and then provide a Project Title and Project Description.,Is there an option to use the same ontology from the current project?,"Yes, you can select 'Reuse ontology of the current project' to use the same ontology."
12,Where can I delete the Apple detection model?,You can delete the Apple detection model by navigating to the Danger zone in the Settings tab and clicking on the Delete model button.,What should I be aware of before deleting a model?,"Before deleting a model, be aware that deletion is a permanent action and cannot be undone.",Which frameworks and tools is the Apple detection model associated with?,The Apple detection model is associated with PyTorch and YOLO_V5 for object detection.
74,What are the types of events I can select as triggers for notifications?,You can choose from 'Reactive events' and 'Digest events'. Each notification can have multiple triggers of these types.,How can I find more information about Reactive and Digest events?,Use the info icon next to each event type to get more detailed explanations on when these events are triggered.,How do I proceed after selecting the triggers for a notification?,"After selecting the desired triggers, click the 'Create' button to proceed."
46,How do I access the System Preferences on my Mac?,"Click the Apple logo at the top left of the screen, then select 'System Preferences' from the dropdown menu.",I want to change my network settings. What should I do after opening System Preferences?,"After opening System Preferences, click on 'Network' to access the network settings.",Does the process of accessing System Preferences change depending on the macOS version?,"No, the process of accessing System Preferences by clicking the Apple logo and selecting 'System Preferences' is consistent across macOS Monterey, Big Sur, Catalina, Mojave, High Sierra, Sierra, El Capitan, and Yosemite."
294,How do I add a group to my Project in this application?,"To add a group, first click the 'Select group' drop-down and choose a group. Then, click the 'Select Role' drop-down to assign a role. Finally, click 'Add' to include the group in the Project.","Can I remove a group from the Project, and if so, how?","Yes, you can remove a group by clicking the 'Delete' button next to the group name.",Who is allowed to change collaborator roles within the Project?,"Only Project admins can modify collaborator roles, and admin roles cannot be changed."
475,How do I initiate tracking for an object in the application shown?,"To initiate tracking, right-click on the object shape and select 'Track object' from the menu. You can also use the keyboard shortcut Shift + T.",What tracking options are available for object tracking?,There are two tracking options available: 'Standard (fast)' and 'Advanced (slow)'.,What is the function of the BACKSPACE key in the menu?,"In the menu, the BACKSPACE key is used to delete the object."
159,What does the icon in the screenshot represent in the application?,"The icon represents the 'Cannot be drawn over' feature for bitmasks, indicating that no part of the image covered by this bitmask is included in any other bitmask labels.",How does the 'Cannot be drawn over' feature affect the labeling process?,The 'Cannot be drawn over' feature ensures that areas covered by this bitmask remain exclusive to this label and cannot overlap with other bitmask labels.,When should I use the 'Cannot be drawn over' option?,Use the 'Cannot be drawn over' option when you need to make sure that no part of the bitmask should overlap or be included in other labeling tasks within the image.
665,What is the first step in optimizing model performance according to the application workflow?,The first step is to 'Create project' using the Annotate product.,What action should be taken after importing predictions in the application workflow?,"After importing predictions, you should 'Review Prediction metrics.'",What is the purpose of creating collections in the workflow?,Creating collections helps in saving interesting groups of data units and labels to support and guide the downstream workflow.
