,index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
11,36,How do I access the system settings on my Mac?,"To access the system settings on your Mac, click the Apple logo in the top-left corner of the screen. In the dropdown menu, select 'System Settings' as highlighted in the screenshot.",What do I do next to troubleshoot a blank screen issue during login?,"After selecting 'System Settings' from the Apple menu, as shown in the screenshot, click on 'Network' as the next step to check and configure your DNS settings.",Where can I find options to restart or shut down my Mac?,"You can find options to restart or shut down your Mac in the same dropdown menu accessed by clicking the Apple logo. The options 'Restart...' and 'Shut Down...' are listed below 'System Settings', as visible in the screenshot."
12,592,How do I create an image group from the uploaded files?,"To create an image group, make sure the 'Batch images as' tab is selected, then choose 'Image group'. Finally, click 'Upload and batch images' at the bottom right.",What types of image files can I upload and batch?,"You can upload and batch image files in the following formats: TIFF, JPEG, PNG, WebP, BMP, and AVIF, as indicated in the upload section of the interface.",What should I do next after checking the files I want to batch?,"After selecting the files you want to batch, click the 'Upload and batch images' button located at the bottom right of the screen to proceed with creating an image group or sequence."
13,370,How can I filter the table entries by date?,"To filter the table entries by date, click on the date range displayed at the top of the table, select the start date '2023-04-17' and the end date '2023-05-19' according to your desired period.",What do I do next to download the table entries?,"To download the table entries, click on the 'Download CSV' button located on the top right corner of the table. This will allow you to save the data in CSV format.",How can I see more entries if they don't all fit on one page?,"If there are more entries than can fit on one page, use the pagination controls at the bottom right of the table. You can navigate between pages or adjust the number of entries visible per page using the dropdown menu '10 / page'."
14,685,How can I access the Analytics view from here?,"To access the Analytics view, click the Analytics view icon located at the top-right corner of the Explorer page.",What can I do next to adjust the metrics in the current view?,You can adjust the X and Y values for the Metric Correlation by selecting different metrics from the dropdown menus labeled 'X Metric' and 'Y Metric' above the scatter plot.,Where can I find information on the distribution of prediction classes?,"The Prediction Class Distribution is shown in the bar chart on the right. It displays the count of each class, such as 'cherry' and 'kiwi', with their corresponding numbers."
15,445,How can I change the task priority to a higher level?,"To change the task priority to a higher level, drag the slider to the right towards the number 100 or manually enter a higher number in the input field, such as 80. Then click the red 'Update' button to save the changes.",What is the current priority level set for the task?,"The current priority level set for the task is 35, as shown in the input field below the slider.",What do I do next to update the task priority to 50?,"Answer To update the task priority to 50, either adjust the slider until it displays 50 or enter '50' in the input field. Then click the blue 'Update' button to save the new priority level."
16,479,How do I instantiate an object for Box (1) using the interface?,"To instantiate an object for Box (1), click the blue icon that resembles a pen next to it. You can also press the 'w' key on your keyboard as a hotkey.","I can see the 'Box (0)' label has numbers 62, 127 - 130 in red. What do these numbers represent?","The numbers 62, 127 - 130 in red likely represent the coordinates or dimensions of the object instance identified as Box (0).",What do I do next to enable SAM mode for further annotation?,"To enable SAM mode, press Shift + A on your keyboard. This will allow you to continue annotating with SAM even if you switch to a different annotation class."
17,209,How can I remove a keypoint from the frame using the interface?,"To remove a keypoint from the frame, click on the icon shown in the screenshot, which is a circle with a minus sign in the center.",What keyboard shortcut should I use to remove a keypoint from the frame?,Use the keyboard shortcut Shift + S to remove a keypoint from the frame.,What do I do next if I want to add a new keypoint after removing one?,"Answer After removing a keypoint, you can add a new one by clicking on the appropriate icon or using the keyboard shortcut Shift + A, as mentioned in the documentation."
18,472,How can I begin tracking an object in the application?,"Answer To track an object, select 'Track object' from the menu on the left. You can either click on the text 'Track object' or press the shortcut 'SHIFT T'.","What options do I have for tracking speed, and where is this setting located?",You have two options for tracking speed: 'Standard (fast)' and 'Advanced (slow)'. This setting is located in the dropdown menu at the bottom right of the screenshot.,What do I do next if I want to delete an object from the interface?,"To delete an object, select 'Delete object' from the menu on the left or press the 'BACKSPACE' key as indicated next to the option."
19,172,How can I filter the object labels by a specific frame range?,"To filter object labels by a specific frame range, click on the filter icon labeled 'E' in the Labels pane.",What do I do next to edit the attributes of a specific instance?,"To edit attributes of a specific instance, click on the edit icon labeled 'L' next to the instance you want to modify.",How do I toggle the visibility of all labels on the screen?,"To toggle the visibility of all labels, click on the eye icon labeled 'H' in the toolbar at the top of the Labels pane."
20,234,How do I change the brush size when creating a bitmask?,You can change the brush size by adjusting the 'Size' slider below the brush tool icon. The current size is set to 50 px.,What are the available modes for the brush tool in this screenshot?,"The available modes for the brush tool are '2D' and '3D', with '2D' currently selected.",What do I need to do next to switch to the eraser tool?,"To switch to the eraser tool, select the eraser icon located next to the brush and threshold brush icons at the top of the brush tool menu."
21,253,What does the warning message indicate in the screenshot?,The warning message indicates that there is 1 issue to resolve before the task can be submitted. It advises the user to resolve all issues to proceed with the task submission.,What should I click to address the issue shown in the screenshot?,"Answer You should click the 'View issue' button, which appears in blue on the right side of the warning message, to open the Issues drawer and resolve the required issue.",What is my next step to continue with the task submission?,"The next step is to click on the 'View issue' button to open the Issues drawer. From there, you can resolve the required issues to proceed with the task submission."
22,711,What does the IOU Distribution graph indicate in this context?,"The IOU Distribution graph shows how the predictions from two different model configurations, YOLOv8x 20 Epochs and YOLOv8 30 Epochs, are distributed across different IOU buckets, indicating the proportion of true and false positive counts.",How can I compare the results of different prediction sets?,"You can compare different prediction sets by selecting the desired prediction set from the 'Prediction Set' dropdown and a comparison set from the 'Compare against' dropdown on the right side of the interface, as seen in the screenshot.",What do I do next to analyze the precision of these models?,"To analyze precision, click on 'Precision' from the menu on the left side, under 'Model Evaluation'. This will provide detailed insights into the precision metrics for the models."
23,507,How can I add a new ontology in this interface?,"To add a new ontology, click the '+ New ontology' button located on the right side of the screen.",What do I do next to attach an ontology to my project?,"To attach an ontology, select the relevant ontology from the list by clicking the 'Select' button next to it, and then click the 'OK' button located at the bottom right of the screen.",Can I filter the list of ontologies visible in this view?,"Yes, you can filter the list of ontologies by typing keywords into the 'Search ontologies' bar located at the top of the ontology list."
24,126,What is the Manufacturer Model Name and where can I find it?,"The Manufacturer Model Name is 'PHT-60CFO', and it can be found under the 'Manufacturer Model Name' field with the tag '0008,1090'.",Why is the 'Patient Comments' field empty?,"The 'Patient Comments' field, tagged '0010,4000', is genuinely empty. According to the documentation, this might indicate that the fourth character of the tag's group value is an even number and the Content field is empty, implying no data was hidden.",What do I do next to view more details about the patient's scan?,"To view more details about the patient's scan, you can search for specific tags or fields using the search bar at the top of the metadata section. This will help you navigate through other details not immediately visible."
25,170,Where can I find the Annotator Instructions?,"You can find the 'Annotator instructions' button in the top-left corner of the Label Editor, indicated by an 'i' icon.",How do I know if I am currently annotating?,"Answer You are in the annotating mode if the 'Annotating' label is visible (highlighted in blue in the top left of the screenshot)
",What do I do next to submit my annotation task?,"To submit your annotation task, click the 'Submit' button located in the top-right corner of the interface."
26,614,How do I select a different custom embedding for visualization?,"To select a different custom embedding, use the 'Select custom embeddings' dropdown menu located on the right side of the Embeddings screen. Click the current selection labeled 'embed-10' and choose a different embedding from the list.",What is the purpose of the 'Embeddings' screen I am looking at?,"The 'Embeddings' screen is designed to help you visualize and explore your data with a 2D embedding view. You can upgrade folder settings to reduce embeddings and generate a 2D view, which may take some time to calculate, as mentioned in the center of the screen.",What do I do next to perform a similarity search after selecting an embedding?,"After selecting a custom embedding from the dropdown menu, click on the 'Grid' icon at the top section of the screen. Then, hover over an image or frame with the custom embedding to perform a similarity search."
27,344,How can I assign the 'Heavy traffic.mp4' task to a specific annotator?,"To assign the 'Heavy traffic.mp4' task, click on the task in the list. Then, use the 'Select annotator' field at the bottom to choose an annotator, such as 'demo@cord.tech', and click the 'Assign' button.",What steps should I take to release a task if I do not want to assign it now?,"If you decide not to assign a task now, you can release it by pressing the icon next to the task and clicking the 'Release task' button as explained in the documentation.",What do I do next to assign multiple tasks at once?,"To assign multiple tasks at once, select the relevant tasks from the list in the 'Assign tasks' pane. Then choose an annotator from the 'Select annotator' dropdown and click the 'Assign' button."
28,35,How can I change the Preferred DNS server to Google's DNS on this screen?,"To change the Preferred DNS server to Google's DNS, click on the 'Preferred DNS' field and enter '8.8.8.8' as shown in the screenshot. Ensure the IPv4 toggle is set to 'On'.",What do I do next to save the DNS settings I've entered?,"After entering the DNS settings, click the 'Save' button at the bottom of the screen to store your new configurations.",Is IPv6 currently enabled according to this screenshot?,"No, IPv6 is not enabled according to this screenshot. The IPv6 toggle is set to 'Off'."
29,325,What options can I select when copying a project?,"You can select from the following options: Labels, Models, Collaborators, and All datasets. These options are visible in the 'Copy project' dialog under 'What assets would you like to include in your copy?'.",I've selected to copy labels; what does this mean?,"This will copy the labels within videos and image sequences of your choice. This is indicated by the note: 'The datasets of the labels you copy over will also be copied over,' which is highlighted in a blue box in the dialog.",What do I do next after selecting the options to copy and choosing labels?,"After selecting your copy options and choosing labels, you should press the 'Next: configure labels' button. This will take you to the next step where you can further configure how the labels will be applied, as seen in the bottom right corner of the dialog."
30,250,How can I select multiple weather conditions simultaneously?,"You can select multiple weather conditions by using the 'Checklist' annotation type. The options such as 'Cloudy', 'Sunny', and 'Rainy' allow for multiple selections under the 'Weather' category.",Can I add a new weather condition to the list?,"Yes, you can add a new weather condition by clicking on the 'Add option' link located below the existing list of weather conditions.",What do I do next to change the selection type from checklist to radio?,"To change the selection type from 'Checklist' to 'Radio', click on the dropdown menu next to 'Checklist' and select 'Radio' from the available options."
31,350,How do I select the correct project type?,"To select the correct project type, click on the 'Automated QA' tab, which is highlighted in red in the screenshot.",---,---,---,---
32,382,How can I filter the projects to only show those with the 'annotator4' tag?,"To filter projects by the 'annotator4' tag, click on the 'Filter by tags' drop-down, type 'annotator4' into the search bar, and select it from the drop-down menu. This will display only the projects with the 'annotator4' tag, such as the 'Tennis racket detector' and 'Polyp detection' projects.",What projects are shown after applying the 'annotator4' filter?,"After applying the 'annotator4' filter, the projects displayed are 'Polyp detection' and 'Tennis racket detector'. Both projects have the 'annotator4' tag.",What do I do next to add a new project with specific tags?,"To add a new project with specific tags, click the 'New project' button on the top right corner of the screen. During the project creation process, you can assign relevant tags to ensure easy filtering in the future."
33,45,How can I change the DNS server on my Mac?,"To change the DNS server, navigate to the 'DNS' tab, then modify the DNS server addresses listed. You can add or remove servers using the '+' and '-' buttons.",What do I do next to ensure the new DNS settings take effect?,"After clicking 'OK' as shown in the screenshot, you need to restart your Mac for the changes to take immediate effect.",What does the 'Ethernet Connected' status indicate?,The 'Ethernet Connected' status with the green dot indicates that your Mac is currently connected to the internet via Ethernet.
34,528,What is the current classification status of the audio file shown?,"The current classification status of the 'woof.mp3' audio file is 'Winner: YES' with the classification applied from frame 00:00.80 to 00:02.92, as shown in the 'Classifications (1)' section.",How can I listen to a specific section of the 'woof_long.mp3' audio file displayed?,You can listen to a specific section of the 'woof_long.mp3' audio file by using the playback controls located just above the waveform display. Use the timeline scrubber and play/pause buttons to navigate to and play the desired section.,What do I do next to reject the classifications applied to the audio file?,"To reject the classifications applied to the audio file, click the 'Reject task' button located in the top-right corner of the screen. This will reject both the classification and the task, as stated in the documentation."
35,393,Where can I delete my project from the current screen?,"You can delete your project by clicking the red 'Delete project' button, which is located on the left side under the 'Danger zone' tab.
",What happens to the project's datasets if I delete the project?,"Deleting your project does not delete the datasets in the project, but it will delete the project's labels and ontology.",What do I do next to start adding labels to my project?,"To start adding labels, click the 'Start labelling' button located on the top right of the screen."
36,415,How can I choose a workflow template for my project?,"Answer To choose a workflow template, click the blue 'Select' button next to 'My-template'.",What are my options if I want to create a new workflow?,"If you want to create a new workflow, you can click on '+ New workflow' below the search bar.",What do I do next to set up a project after selecting a template?,"After clicking the 'Select' button for your desired template, proceed with the rest of the project setup workflow guided by the application interface."
37,262,How do I copy an ontology in this interface?,"To copy an ontology, navigate to the _Options_ page within the Ontology's settings, and click the 'Copy ontology' button located on the right side of the screen.",What happens when I copy an ontology?,"Copying an ontology will duplicate all object primitives, and you have the option to include team members as well. The new ontology will not be attached to any projects by default.",What do I do next after copying an ontology?,"After copying an ontology, you can choose to attach it to a project under the 'Linked projects' section if needed, since the new ontology is not automatically linked to any projects."
38,374,How do I download the list of annotator session times?,"To download the list of annotator session times, click on the 'Download CSV' button located at the top right corner of the table.",What is the session time for the user with the email david.babuschkin+test2@encord.com?,The session time for the user with the email david.babuschkin+test2@encord.com is 1 minute and 44 seconds.,What do I do next to filter the table by a specific date range?,"To filter the table by a specific date range, use the date fields located at the top right, near the 'Download CSV' button, to select your desired start and end dates."
39,372,How can I view more details about the annotator submission?,"To view more details about the annotator submission, click the '+’ button next to the annotator's email address as mentioned in the documentation.",---,---,---,---
40,326,How do I select multiple data assets in this interface?,"To select multiple data assets, use the checkboxes next to each title in the list. For example, 'browserstestfailure.mp4' and 'image-group-4312c' are currently selected.",What is the current status of the 'file_example_WEBM_480_' asset?,"The current status of 'file_example_WEBM_480_' is 'In review', as indicated by the beige label in the Status column.",What do I do next after selecting the data assets I want?,"After selecting the data assets, click the 'Next' button located at the bottom right of the window to proceed to the next step."
41,0,What option should I choose to deploy a Lambda function using a container image?,"You should select the 'Container image' option, which is highlighted in the screenshot. This allows you to deploy a function using a container image.",How can I begin creating a Lambda function from the options available?,"According to the screenshot, you can choose either 'Author from scratch' or 'Use a blueprint' to start creating a Lambda function. However, for deploying using a container, select 'Container image'.",What do I do next to use a container image for my Lambda function?,"Next, after selecting 'Container image', you need to click 'Browse images' and select the container image from your ECR repository, as mentioned in the documentation below the screenshot."
42,634,How can I create a new dataset?,"To create a new dataset, click the red '+ New dataset' button located in the top-right corner of the screen in the 'Annotate' section under 'Datasets'.",What are the existing datasets in my list?,"The existing datasets in your list include 'Cats', 'Sports images', 'Ski images', 'Cats 2', 'Chickens', 'Chicken video', and 'Cologne 2.0'. Each has its creation date displayed next to it.",What do I do next after clicking the 'New dataset' button?,"After clicking the 'New dataset' button, you should give your dataset a meaningful title and description. This helps keep your data organized, as advised in the documentation."
43,336,How can I remove a group from the project?,"To remove a group, click the blue button with a white trash bin icon next to the group name.",What should I do next to add another group with a different role?,"To add another group with a different role, repeat the process by navigating to the appropriate section and following the same steps as before.",Where will the newly added group appear after I add it?,The newly added group will appear under the 'Added groups' heading in the interface.
44,744,How can I sync my project data to Active?,"To sync your project data to Active, mouseover your desired project, click the More '...' icon that appears in the top right corner of the project card, and then select 'Sync Project Data' from the dropdown menu.",What do I do next to view the Annotate comments in Active?,"After you click the 'Sync Project Data' option from the More '...' menu, all the Annotate Project data, including comments, will be synced to the project in Active. You should then be able to view the comments.",Where can I find the option to import a new Annotate project in Active?,You can find the option to import a new Annotate project on the top right corner of the Active page. Click the red '+ Import Annotate Project' button to proceed.
45,296,What roles can I assign to a collaborator in 'My first project'?,"You can assign the following roles to collaborators: Annotator, Reviewer, Annotator & Reviewer, Team Manager, and Admin. This is visible in the documentation section above the screenshot.",What does the message on the screen mean when it says 'Upgrading a collaborator to admin cannot be undone'?,"The message indicates that once you upgrade a collaborator to the admin role, it is a permanent action and cannot be reversed. You must choose 'Cancel' or 'Continue' to confirm or abandon this action, as seen in the prompt on the screenshot.",What do I do next if I want to assign an admin role to a collaborator?,"To assign an admin role to a collaborator, click on 'Continue' in the pop-up message shown in the screenshot. Be aware that this action cannot be undone."
46,387,How can I add selected emails to the list of collaborators?,"To add selected emails to the list of collaborators, click on the checkbox next to the desired email from the dropdown suggestions, such as 'annotator1@workforce.example.com', and then press the 'Add' button in red.",What do the existing email addresses indicate in this context?,The existing email addresses 'annotator1@workforce.example.com' and 'annotator2@workforce.example.com' indicate the collaborators who have already been added to this project under the 'Invite collaborators' section.,What do I do next after adding all collaborators?,"After adding all collaborators, you can start working on the project by clicking either 'Start reviewing' or 'Start labelling' if you wish to begin those tasks for the 'Underwater 2022-06-14' project."
47,686,How many severe outliers are detected in the dataset?,"There are 1,337 severe outliers detected in the dataset, as indicated in the 'Severe Outliers' section.",What is the median image size in the dataset being analyzed?,"The median image size in the dataset is 640x480 pixels, as shown in the summary section above the chart.",What do I do next to further investigate the outliers identified in the dataset?,"To further investigate the outliers, you can start by exploring the '13 Metrics with outliers' chart to identify which specific metrics, such as 'Green Value' or 'Area', have significant outlier counts. This will guide you in analyzing the underlying data contributing to these outliers."
48,243,How can I edit the classification for the wing instance?,"Click the 'Edit classifications' button next to the Wing (1) label, which is represented by an icon of a pencil in a square. This button is located in the Instance labels section.",What do the current classifications indicate in the Encord interface?,"The current classifications show that there is one chicken and one wing labeled in the frame, with both instances indicated in the Instance labels section on the left panel.",What should I do next to link the wing to the chicken?,"After editing the classifications, click the 'Set relation...' bar and choose the instance you want to link to, under the 'This frame' heading. In this case, select the chicken to establish the link with the wing."
49,684,How can I tell which fruit class has the highest number of predictions?,"The 'cherry' class has the highest number of predictions with 7,241, as shown in the Prediction Class Distribution chart on the right side of the screen.",What do I do next to filter this data by a specific prediction set?,"To filter by a specific prediction set, you can select the dropdown next to 'Prediction Set' at the top right and choose the desired set. The current selection is 'YOLOv8n 30 ...'.",Is there an indication of any issues within the current predictions?,"Yes, there are 2,879 issues found, as indicated by the blue button on the right side of the screen, under the text 'No. of Predictions'."
50,9,What does the 'Day and night' model specialize in?,"The 'Day and night' model specializes in detecting day and night time, as indicated by the text under the model name.",What is the next step to start training my model?,"To start training your model, click the 'Train model' button located in the upper right corner of the screen.",How can I view the model's ontology?,You can view the model's ontology by clicking the 'View model's ontology' button located next to the model ID information.
51,10,How do I select the project for training my model?,"To select the project for training, use the 'Select project' dropdown on the left side. In this screenshot, 'Apple Project' is currently selected.",What is the default number of epochs set for training the model?,"The default number of epochs is set to 500, as indicated in the 'Epochs' field on the top of the screenshot.",What do I do next to start training the model?,"Once all the settings are configured, click the 'Train model' button located at the bottom right of the screenshot to start the training process."
52,677,How do I adjust the priority of tasks for the collection I'm sending to Annotate?,"To adjust the priority of tasks, use the slider labeled 'Adjust priority of tasks' in the 'Send to Annotate' dialog. You can move it from Low (0) to High (100). Currently, it is set at 50.",What is the next step if I want to reopen the tasks in this collection?,"To reopen the tasks in this collection, check the 'Reopen tasks' checkbox in the 'Send to Annotate' dialog before clicking the 'Submit' button.",Where can I leave a comment for the tasks in the collection being sent to Annotate?,You can leave a comment on the tasks by entering your comment in the text box labeled 'Leave a comment on the tasks' in the 'Send to Annotate' dialog.
53,378,What options do I have for copying assets in the project?,"In the 'Copy project' window, you can choose to copy Labels, Models, Collaborators, or All datasets. These options are listed under the 'What assets would you like to include in your copy?' section.",What do I do next to proceed with copying labels?,"To proceed with copying labels, click on the 'Next: configure labels' button located at the bottom right of the 'Copy project' window.",Is it possible to change the ontology of the new project?,"Yes, the new annotation project uses the same ontology as the original by default, but you can change this in the Project settings if required."
54,329,How do I filter for projects using the tag 'dicom'?,"To filter for projects using the tag 'dicom', click on the 'Projects' tab in the navigation bar. Then, in the 'Filter by tags' drop-down menu, select 'dicom' from the list. This will display projects tagged with 'dicom'.",I currently have the tag 'annotator4' selected. What projects are being displayed?,"With the tag 'annotator4' selected, the displayed projects are 'Polyp detection' and 'Tennis racket detector', as both have the 'annotator4' tag.",What do I do next to add a new project?,"To add a new project, click on the red '+ New project' button located at the top right corner of the screen."
55,53,What should I do if I need to add a new DNS server?,Click on the '+' button below the 'DNS Servers' list on the left side of the window.,I see '8.8.8.8' in the DNS Servers list. What does this mean?,"'8.8.8.8' is an IP address for Google's public DNS server, which you can use for domain name resolution.",What do I do next to achieve the setup in the documentation?,"After clicking the '+' button, type '8.8.4.4' in the text field under 'DNS Servers' to add another DNS server as per the next step in the documentation."
56,403,How do I edit the name of the review stage in this interface?,"To edit the name of the review stage, click the pencil icon next to 'Review 1' at the top of the screenshot.",What steps should I follow to add a specific reviewer by email?,"To add a reviewer by email, click on the 'Selective' tab under 'Reviewers', type the email address in the 'Add collaborators' field, and then click the 'Add' button.",What do I need to do next to compare stages for task restrictions?,"To compare stages for task restrictions, go to the 'Task assignment restriction' section at the bottom, and select the desired stages from the 'Please select' dropdown menu."
57,725,Why is Frame i flagged in the screenshot?,"Frame i is flagged because it does not include an object in the same region as the two surrounding frames, Frame i-1 and Frame i+1, which both have labeled objects 'CAT:1' and 'CAT:2' respectively.",What information is missing in Frame i compared to the others?,"Frame i is missing the object labeled 'CAT', which is present in both Frame i-1 and Frame i+1 in the same area.",What do I do next to identify more missing objects in other frames?,"To identify more missing objects, use the running window comparison method to check for object overlaps in sequences of frames. Verify that each frame has consistent objects in similar regions as its surrounding frames."
58,590,How can I upload files to a specific folder?,"To upload files to a specific folder, click on the '+Upload files' button, which is located on the right side of the screen above the folder list. Then, select the desired folder from the list to upload your files to.",How do I create a new folder in this interface?,"To create a new folder, click the '+New folder' button located next to the '+Upload files' button at the top right of the folder list. This lets you create standard and mirrored folders for your data.",What do I do next if I want to add a new data type to my folder?,"After selecting your folder by clicking one from the left list, you should select the type of data you want to add. You can set this up from the 'Quick actions' section on the right-side panel where options such as 'Set up integration' are available."
59,544,Where can I find the option to create a new annotation project?,"To create a new annotation project, click on the '+ New annotation project' button located at the top right of the 'Annotation projects' tab.",What is the current status of 'Document Project III'?,The current status of 'Document Project III' is 'Not started' as shown by the status bar under the project name.,What do I do next after selecting 'Projects' under 'Annotate'?,"After selecting 'Projects' under 'Annotate', click on the '+ New annotation project' button to create a new project, as indicated in the documentation."
60,536,How do I apply a classification to the current frame and save it?,"To apply a classification to the current frame and save it, click the 'This frame & save' button located above the editor timeline. You can also use the hotkey 'Z' for this action.",What classification options are available for the 'Indoor or Outdoor?' category?,"For the 'Indoor or Outdoor?' classification category, you have two options: 'Indoor' and 'Outdoor'. You can select one of these radio button options from the list on the left side of the Label Editor.",What do I do next after selecting 'Indoor' for the 'Indoor or Outdoor?' classification?,"After selecting 'Indoor' for the 'Indoor or Outdoor?' classification, ensure you apply the classification to the frame. You can do this by clicking 'This frame & save' or using hotkey 'Z'. Finally, save the classification so it appears in the list of all labels on the left side of the Label Editor."
61,341,How can I start annotating the file ‘sample.mp4’?,"To start annotating ‘sample.mp4’, click on the 'Start labelling' button located at the top right of the Queue pane in the Labels tab.",What task has been assigned to ekaterina@cord.tech?,"Ekaterina has been assigned the annotation task for the file with ID ‘b2710a64-...’, which is in the 'Returned' status.",What do I do next to mark the task ‘Review sample.mp4’ as complete?,"To mark the task ‘Review sample.mp4’ as complete, you need to first select the task from the list and perform the necessary review actions. Since it is currently at status 'Assigned', you might click 'Initiate' under the Actions column once you have completed your review, if applicable steps are provided."
62,440,What project statuses can I choose from the dropdown menu for 'Magical Marmosets'?,"For the 'Magical Marmosets' project, you can choose from the following statuses: Not started, In progress, Paused, Completed, or Cancelled. The current status is set to 'In progress'.",Why is the icon of the 'Pigeon Racing' project different from the others?,"The icon for the 'Pigeon Racing' project is different because its status is 'Cancelled'. According to the information provided, the project icon changes based on the status, such as 'Paused', 'Completed', or 'Cancelled'.",What do I do next to enable tasks for annotators in the 'Candid Koalas' project?,"To enable tasks for annotators in the 'Candid Koalas' project, change its status from 'Paused' to either 'In progress' or 'Not started'. Tasks cannot be opened by annotators if the status is 'Paused'."
63,432,How do I add more individuals to this training program?,"In the 'Assign training' step, under 'Individuals', you can add more by entering their email addresses in the field provided, similar to the existing addresses shown in the screenshot.",What should I do next to finalize the training setup?,"To finalize the training setup, click on the 'Create training program' button at the bottom of the screen as seen in the screenshot.",Can I change the group of trainees later after this step?,"Yes, you can add more annotators to the project later, as mentioned in the documentation tip above the screenshot."
